"","V1","V2","V3","prob","cumul.prob","V6"
"1",100,0,0,1.94032521748265e-48,1.94032521748265e-48,200
"2",0,100,0,1.94032521748265e-48,3.8806504349653e-48,200
"3",0,0,100,1.94032521748265e-48,5.82097565244794e-48,200
"4",99,1,0,1.94032521748261e-46,1.99853497400709e-46,194.06
"5",1,99,0,1.94032521748261e-46,3.9388601914897e-46,194.06
"6",99,0,1,1.94032521748261e-46,5.87918540897231e-46,194.06
"7",0,99,1,1.94032521748261e-46,7.81951062645492e-46,194.06
"8",1,0,99,1.94032521748261e-46,9.75983584393753e-46,194.06
"9",0,1,99,1.94032521748261e-46,1.17001610614201e-45,194.06
"10",98,2,0,9.60460982653908e-45,1.07746259326811e-44,188.24
"11",2,98,0,9.60460982653908e-45,2.03792357592202e-44,188.24
"12",98,0,2,9.60460982653908e-45,2.99838455857593e-44,188.24
"13",0,98,2,9.60460982653908e-45,3.95884554122984e-44,188.24
"14",2,0,98,9.60460982653908e-45,4.91930652388374e-44,188.24
"15",0,2,98,9.60460982653908e-45,5.87976750653765e-44,188.24
"16",98,1,1,1.92092196530782e-44,7.80068947184547e-44,188.18
"17",1,98,1,1.92092196530782e-44,9.72161143715329e-44,188.18
"18",1,1,98,1.92092196530782e-44,1.16425334024611e-43,188.18
"19",97,3,0,3.13750587666933e-43,4.30175921691544e-43,182.54
"20",3,97,0,3.13750587666933e-43,7.43926509358476e-43,182.54
"21",97,0,3,3.13750587666933e-43,1.05767709702541e-42,182.54
"22",0,97,3,3.13750587666933e-43,1.37142768469234e-42,182.54
"23",3,0,97,3.13750587666933e-43,1.68517827235927e-42,182.54
"24",0,3,97,3.13750587666933e-43,1.99892886002621e-42,182.54
"25",97,2,1,9.41251763000795e-43,2.940180623027e-42,182.42
"26",2,97,1,9.41251763000795e-43,3.8814323860278e-42,182.42
"27",97,1,2,9.41251763000795e-43,4.82268414902859e-42,182.42
"28",1,97,2,9.41251763000795e-43,5.76393591202939e-42,182.42
"29",2,1,97,9.41251763000795e-43,6.70518767503018e-42,182.42
"30",1,2,97,9.41251763000795e-43,7.64643943803098e-42,182.42
"31",96,4,0,7.60845175092314e-42,1.52548911889541e-41,176.96
"32",4,96,0,7.60845175092314e-42,2.28633429398773e-41,176.96
"33",96,0,4,7.60845175092314e-42,3.04717946908004e-41,176.96
"34",0,96,4,7.60845175092314e-42,3.80802464417235e-41,176.96
"35",4,0,96,7.60845175092314e-42,4.56886981926467e-41,176.96
"36",0,4,96,7.60845175092314e-42,5.32971499435698e-41,176.96
"37",96,3,1,3.04338070036927e-41,8.37309569472625e-41,176.78
